PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajustes de amortiguación,Color,Homologación,Longitud (mm),Spring Rate,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1021553,60027,MH34WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH34WO,191.18,158.00,70.00,8033914007256,1,8714109090,0,1,"BITUBO is an Italian manufacturer of forks, shock absorbers and steering dampers for motorcycles and maxi-scooters. Race-developed, this manufacturer's suspension components combine performance and aesthetics.","BITUBO is an Italian manufacturer of forks, shock absorbers and steering dampers for motorcycles and maxi-scooters. Race-developed, this manufacturer's suspension components combine performance and aesthetics.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7289,1115,454,169,95,,,,,,https://api.mybihr.com/medias/1021553-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA1NzZ8aW1hZ2UvanBlZ3xhREV4TDJnek15ODRPVFk1TVRrek5UZzJOekU0THpFd01qRTFOVE10TVY4NE1EQlhlRGd3TUVnfDkyYzk0OTlhMTUxZTg1ZjkzNGUzYWRiMzM2YjU1MjZhNjJmNzhhYWRmYTlmMzYxNGM0ZjBmOTRlMDAzOWUwMmQ,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1043584,,T0024WME02V2,BITUBO,BITUB REAR SHOCK WME02,BITUBO WME02V2 Twin Rear Shock Absorbers,557.21,460.50,210.00,8033914203856,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.</p><p> </p><ul start=""1""> <li>Black spring </li><li>Settings : preload, rebound </li><li>Ø rod 12mm </li><li>Ø body 36mm</li></ul> <p> </p></body> </html>","       Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.  Black spring Settings : preload, rebound Ø rod 12mm Ø body 36mm   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7405,4145,455,175,93,,,Homologación TüV,,,https://api.mybihr.com/medias/1043584-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM0MjI2fGltYWdlL2pwZWd8YURnMEwyZ3pNQzg0T1Rjd01qazVORGN6T1RVd0x6RXdORE0xT0RRdE1WODRNREJYZURnd01FZ3xmOGU4YjI3MDZkMTc1NzdhZmRhOTM5YjBiYzljNmI3YTNhZGUyYmJmNGMzZWE2NmY3NDhjMmJjZDFjZDJlODZm,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043545,,BW002WMB02V2,BITUBO,BITUB REAR SHOCK WMB02,BITUBO Legend Series WMB02 Twin Rear Shock Absorbers,488.84,404.00,230.00,8033914204495,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7382,4008,455,169,96,,,Homologación TüV,,,https://api.mybihr.com/medias/1043545-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIyNTF8aW1hZ2UvanBlZ3xhR1ppTDJnNFpDODRPVGN3TWpreE9EQTJNak00THpFd05ETTFORFV0TVY4NE1EQlhlRGd3TUVnfGYxMzFkOWE3OWIyYWZhNzc4NmI3NDZlYmE3YzZkM2FhZWJkOTc4ZWRmZGRlN2E0MjAxNDk3MThhYmM0M2YzMWU,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043524,,S0007XZE11,BITUBO,BITUB REAR SHOCK XZE11,BITUBO Legend Series XZE11 Rear Shock Absorber,750.81,620.50,320.00,8033914075736,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,4000,450,167,90,,,Homologación TüV,,,https://api.mybihr.com/medias/1043524-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE3MDl8aW1hZ2UvanBlZ3xhR00zTDJnek9TODRPVGN3TWpnM09EYzBNRGM0THpFd05ETTFNalF0TVY4NE1EQlhlRGd3TUVnfGFlOTM0ZjU2M2ExNDEyMGJjOGUxMjE4YTAxZGEyZGIwOGZiZDcwZTM0ZjlmZDZjODY3Zjk1MzIzYWNmYzQzZWI,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043605,,T0030WME52V2,BITUBO,BITUB REAR SHOCK WME52V2,BITUBO WME52V2 Twin Rear Shock Absorbers - Black,557.21,460.50,220.00,8033914207922,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.</p><p> </p><ul start=""1""> <li>Settings: pre-load - rebound</li></ul> </body> </html>","       Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.  Settings: pre-load - rebound  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7581,4673,456,175,95,,Negro,Homologación TüV,,,https://api.mybihr.com/medias/1043605-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYzMzgxfGltYWdlL2pwZWd8YURobEwyaGpZUzg0T1Rjd016QXpOakF5TnpFNEx6RXdORE0yTURVdE1WODRNREJYZURnd01FZ3w4MjE5ZjM4NmE0MGYxOTM4ODNjZWQ2MWIwMmZjMmE0YmMxZjI1OTI2NTY2NDhkZDJjMWFkY2FiMTdhYWI5NDFi,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043607,,K0039WMT01,BITUBO,BITUB REAR SHOCK WMT01,BITUBO WMT01 Twin Rear Shock Absorbers,978.89,809.00,425.00,8033914138967,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,8097,4841,452,169,106,,,Homologación TüV,,,https://api.mybihr.com/medias/1043607-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTUxMzR8aW1hZ2UvanBlZ3xhRFV3TDJoaVppODRPVGN3TXpBek9UazFPVE0wTHpFd05ETTJNRGN0TVY4NE1EQlhlRGd3TUVnfDNjZGEyODQ2YmZhNGVjNzY4MDhmNzkxNDhjZDY2ZmEzZjQ2OWM3MDRjNjA5NzU3YzBiOGZhNzM4MTk0YzVmZDI,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043541,,T0032WMT02V2,BITUBO,BITUB REAR SHOCK DE01,BITUBO WMT02V2 Twin Rear Shock Absorbers,978.89,809.00,430.00,8033914212988,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_DX_FRAG_STARTFRAGMENT""></a><a id=""_DX_FRAG_STARTFRAGMENT""></a>Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.</p><p> </p><ul> <li>Settings : preload, rebound, compression</li><li>Piggyback tank</li><li>Ø rod 14mm</li><li>Ø body 36mm<a id=""_DX_FRAG_ENDFRAGMENT""></a></li></ul> <p> </p></body> </html>","       Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.  Settings : preload, rebound, compressionPiggyback tankØ rod 14mmØ body 36mm   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,8459,4793,456,175,106,,Negro,,,,,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1021671,59809,MF028WO,BITUBO,BITUB FRK SPRING FORK SET,Muelles de horquilla Scooter Bitubo MF028WO,191.18,158.00,70.00,8033914133535,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7326,873,458,172,93,,,,,,https://api.mybihr.com/medias/1021671-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA1NzZ8aW1hZ2UvanBlZ3xhRGt4TDJnMVlpODVNREV5TlRNeU1UVXdNekF5THpFd01qRTJOekV0TVY4NE1EQlhlRGd3TUVnfDAyNzlhYTM3ZTQxZWVkZmVlMmI0ZDk5NDFiYmRhNTZlNTE3Y2NjYzVmMDk4YTVhMTkxN2M4MmZlMzdlZjFjZWE,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021546,59942,MH25WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH25WO,147.49,121.89,79.23,8033914120535,2,8714109090,0,1,"K = 0,8 kg/mm","K = 0,8 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1000,450,167,90,,,,,,https://api.mybihr.com/medias/1021546-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhR016TDJnME1TODRPVFk1TVRreU1qRXdORFl5THpFd01qRTFORFl0TVY4NE1EQlhlRGd3TUVnfDk3NjYwOWRkMTQ5OTBmOWUyNDU2MmEzYzhjZGRlODlhODAyZDNlNTc0MjY2NDE4YmNiMWIwYTg1ZTkwNzJjZTU,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1043562,,Y0082WMB02V2,BITUBO,BITUB REAR SHOCK WMB02,BITUBO WMB02 Twin Rear Shock Absorbers,488.84,404.00,220.00,8033914206024,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,3762,450,167,90,,,Homologación TüV,,,https://api.mybihr.com/medias/1043562-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIyNTF8aW1hZ2UvanBlZ3xhR0U1TDJneFppODVNREV5TXpnek56UTBNRE13THpFd05ETTFOakl0TVY4NE1EQlhlRGd3TUVnfDZlYTJhYzNiNjRiMjM4N2Y4ODU0Njk2NDZiNDAxMzQ2YTM5MWNlMGNiODlkYzFhNDZkZjRhZjE1OGVkNDRmMDE,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1021349,60468,K0093XZE01,BITUBO,BITUB REAR SHOCK XZE01,Amortiguador Bitubo gas K0093XZE01,700.59,579.00,376.35,8033914142124,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7349,3418,453,169,96,,,Homologación TüV,,,https://api.mybihr.com/medias/1021349-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTAxNDY3fGltYWdlL2pwZWd8YUdFeUwyaGhZeTg0T1RZNU1UVTBNalkxTVRFNEx6RXdNakV6TkRrdE1WODRNREJYZURnd01FZ3w1ZmEzOGVlNzU1ZTViZDJjOGQ1ZWU2M2M2MDE2ZDVkY2FiZjY1ZGNhOWVmZGE4Njc0YWZiMzhhZTAwODBlYjI1,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
